,Team,Odds,W-L O/U,Result,Wins,Wins - Predicted Wins
5,Golden State Warriors,950,47.5, 15-50 (under),15,-32.5
21,Detroit Pistons,25000,37.5, 20-46 (under),20,-17.5
23,Minnesota Timberwolves,50000,35.5, 19-45 (under),19,-16.5
14,San Antonio Spurs,6000,46.5, 32-39 (under),32,-14.5
19,Atlanta Hawks,25000,33.5, 20-47 (under),20,-13.5
9,Portland Trail Blazers,3500,46.5, 35-39 (under),35,-11.5
22,Chicago Bulls,42500,33.5, 22-43 (under),22,-11.5
4,Philadelphia 76ers,775,54.5, 43-30 (under),43,-11.5
3,Houston Rockets,700,54.0, 44-28 (under),44,-10.0
6,Utah Jazz,1300,53.5, 44-28 (under),44,-9.5
11,Brooklyn Nets,5500,43.5, 35-37 (under),35,-8.5
18,Orlando Magic,20000,41.5, 33-40 (under),33,-8.5
16,New Orleans Pelicans,12500,37.5, 30-42 (under),30,-7.5
7,Denver Nuggets,2000,53.0, 46-27 (under),46,-7.0
17,Sacramento Kings,15000,37.5, 31-41 (under),31,-6.5
26,New York Knicks,100000,26.5, 21-45 (under),21,-5.5
28,Cleveland Cavaliers,150000,24.5, 19-46 (under),19,-5.5
0,Los Angeles Clippers,425,53.5, 49-23 (under),49,-4.5
27,Washington Wizards,125000,27.0, 25-47 (under),25,-2.0
10,Indiana Pacers,5000,46.5, 45-28 (under),45,-1.5
2,Milwaukee Bucks,550,57.5, 56-17 (under),56,-1.5
8,Boston Celtics,2900,48.5, 48-24 (under),48,-0.5
29,Charlotte Hornets,200000,23.5, 23-42 (under),23,-0.5
13,Miami Heat,6000,43.5, 44-29 (over),44,0.5
1,Los Angeles Lakers,450,50.5, 52-19 (over),52,1.5
15,Dallas Mavericks,10500,40.5, 43-32 (over),43,2.5
24,Phoenix Suns,50000,29.5, 34-39 (over),34,4.5
12,Toronto Raptors,5500,46.5, 53-19 (over),53,6.5
25,Memphis Grizzlies,100000,27.5, 34-39 (over),34,6.5
20,Oklahoma City Thunder,25000,32.5, 44-28 (over),44,11.5
