Team,Pts
Milwaukee Bucks,117.7473684
Brooklyn Nets,117.702381
Utah Jazz,116.4819277
Portland Trail Blazers,116.3717949
Washington Wizards,116.3291139
Indiana Pacers,115.6891892
Denver Nuggets,115.0243902
New Orleans Pelicans,114.5972222
Philadelphia 76ers,114.0119048
Phoenix Suns,113.8085106
Sacramento Kings,113.7361111
Los Angeles Clippers,113.5054945
Golden State Warriors,113.5
Memphis Grizzlies,113.278481
Boston Celtics,112.6666667
Atlanta Hawks,112.2111111
Minnesota Timberwolves,112.125
Dallas Mavericks,111.8734177
Toronto Raptors,111.2638889
San Antonio Spurs,110.8767123
Chicago Bulls,110.6805556
Charlotte Hornets,109.5616438
Houston Rockets,108.7916667
Los Angeles Lakers,108.5443038
Miami Heat,107.5394737
Detroit Pistons,106.6111111
New York Knicks,106.3766234
Oklahoma City Thunder,105
Orlando Magic,104
Cleveland Cavaliers,103.8333333
