,Unnamed: 0,Date,v,final_v,ml_v,h,final_h,ml_h,total_open,total_close,spread_open,spread_close,gameid,margin,vegas_home_win_prob,vegas_away_win_prob,home_rating,away_rating,home_win_prob,away_win_prob,pred_spread,spread_diff_vegas,vegas_spread_winprob,bet_size,bet_team,pred_error,spread_outcome,home_win_ats,pred_correct,wealth
0,0,1016,Philadelphia,87,170,Boston,105,-200,208.5,211.5,-5.0,-4.5,P87B105,-18,0.6667,0.3704,1608.0,1575.0,0.6387,0.36129999999999995,-3.5357142857142856,0.9642857142857144,0.47250000000000003,0.0019374999999999477,Philadelphia,-14.464285714285715,-1,-1,1.0,998.0625
1,1,1016,OklahomaCity,100,711,GoldenState,108,-1100,223.5,220.5,-11.5,-12.0,O100G108,-8,0.9167,0.1233,1629.0,1545.0,0.7034,0.2966,-5.357142857142857,6.642857142857143,0.3176,0.08326,OklahomaCity,-2.6428571428571432,-1,1,0.0,1073.6067579545454
2,2,1017,Memphis,83,263,Indiana,111,-325,209.0,204.5,-7.0,-7.5,M83I111,-28,0.7647,0.2755,1539.0,1461.0,0.6961,0.30389999999999995,-5.142857142857143,2.3571428571428568,0.43310000000000004,0.02262249999999996,Memphis,-22.857142857142858,-1,-1,1.0,1049.3190890727187
3,3,1017,Milwaukee,113,-165,Charlotte,112,144,217.0,222.0,1.5,3.0,M113C112,1,0.4098,0.6226,1467.0,1542.0,0.4871,0.5129,0.32142857142857145,-2.6785714285714284,0.5759000000000001,-0.02734750000000008,,0.6785714285714286,1,-1,0.0,1075.4065925167336
4,4,1017,Miami,101,-135,Orlando,104,115,210.5,208.0,2.0,2.5,M101O104,-3,0.4651,0.5745,1440.0,1512.0,0.4914,0.5085999999999999,0.21428571428571427,-2.2857142857142856,0.5648,-0.021519999999999973,,-3.2142857142857144,-1,-1,0.0,1096.445456035788
5,5,1017,Brooklyn,100,211,Detroit,103,-255,212.0,213.0,-4.5,-6.0,B100D103,-3,0.7183,0.3215,1485.0,1446.0,0.6467,0.35329999999999995,-3.75,2.25,0.43620000000000003,0.020994999999999986,Brooklyn,0.75,1,1,0.0,1117.3726127171258
6,6,1017,Atlanta,107,148,NewYork,126,-170,213.5,216.5,-3.5,-4.0,A107N126,-19,0.6296,0.4032,1425.0,1395.0,0.6347,0.36529999999999996,-3.4285714285714284,0.5714285714285716,0.4837,0.0,,-15.571428571428571,-1,-1,1.0,1117.3726127171258
7,7,1017,Cleveland,104,797,Toronto,116,-1300,214.0,215.5,-11.5,-12.5,C104T116,-12,0.9286,0.1115,1587.0,1437.0,0.7762,0.2238,-7.714285714285714,4.785714285714286,0.36619999999999997,0.057745000000000025,Cleveland,-4.285714285714286,-1,1,0.0,1176.0295959183534
8,8,1017,NewOrleans,131,278,Houston,112,-345,229.5,233.0,-7.5,-8.0,N131H112,19,0.7753,0.2646,1593.0,1527.0,0.6813,0.3187,-4.714285714285714,3.2857142857142856,0.4072,0.03621999999999997,NewOrleans,23.714285714285715,1,1,0.0,1214.7530431585012
9,9,1017,Minnesota,108,125,SanAntonio,112,-145,210.5,212.0,-1.0,-2.5,M108S112,-4,0.5918,0.4444,1515.0,1503.0,0.6104,0.38959999999999995,-2.7857142857142856,-0.2857142857142856,0.5081,0.0,,-1.2142857142857144,-1,-1,0.0,1214.7530431585012
