,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
0,"Tue, Oct 19, 2021",7:30p,Brooklyn Nets,104.0,Milwaukee Bucks,127.0,Box Score,,"17,341",
1,"Tue, Oct 19, 2021",10:00p,Golden State Warriors,121.0,Los Angeles Lakers,114.0,Box Score,,"18,997",
2,"Wed, Oct 20, 2021",7:00p,Indiana Pacers,122.0,Charlotte Hornets,123.0,Box Score,,"15,521",
3,"Wed, Oct 20, 2021",7:00p,Chicago Bulls,94.0,Detroit Pistons,88.0,Box Score,,"20,088",
4,"Wed, Oct 20, 2021",7:30p,Boston Celtics,134.0,New York Knicks,138.0,Box Score,2OT,"19,812",
5,"Wed, Oct 20, 2021",7:30p,Washington Wizards,98.0,Toronto Raptors,83.0,Box Score,,"19,800",
6,"Wed, Oct 20, 2021",8:00p,Cleveland Cavaliers,121.0,Memphis Grizzlies,132.0,Box Score,,"15,975",
7,"Wed, Oct 20, 2021",8:00p,Houston Rockets,106.0,Minnesota Timberwolves,124.0,Box Score,,"16,079",
8,"Wed, Oct 20, 2021",8:00p,Philadelphia 76ers,117.0,New Orleans Pelicans,97.0,Box Score,,"12,845",
9,"Wed, Oct 20, 2021",8:30p,Orlando Magic,97.0,San Antonio Spurs,123.0,Box Score,,"16,697",
10,"Wed, Oct 20, 2021",9:00p,Oklahoma City Thunder,86.0,Utah Jazz,107.0,Box Score,,"18,306",
11,"Wed, Oct 20, 2021",10:00p,Sacramento Kings,124.0,Portland Trail Blazers,121.0,Box Score,,"17,467",
12,"Wed, Oct 20, 2021",10:00p,Denver Nuggets,110.0,Phoenix Suns,98.0,Box Score,,"16,074",
13,"Thu, Oct 21, 2021",7:30p,Dallas Mavericks,87.0,Atlanta Hawks,113.0,Box Score,,"17,162",
14,"Thu, Oct 21, 2021",8:00p,Milwaukee Bucks,95.0,Miami Heat,137.0,Box Score,,"19,600",
15,"Thu, Oct 21, 2021",10:00p,Los Angeles Clippers,113.0,Golden State Warriors,115.0,Box Score,,"18,064",
16,"Fri, Oct 22, 2021",7:00p,New York Knicks,121.0,Orlando Magic,96.0,Box Score,,"18,846",
17,"Fri, Oct 22, 2021",7:00p,Indiana Pacers,134.0,Washington Wizards,135.0,Box Score,OT,"15,407",
18,"Fri, Oct 22, 2021",7:00p,Charlotte Hornets,123.0,Cleveland Cavaliers,112.0,Box Score,,"17,116",
19,"Fri, Oct 22, 2021",7:30p,Toronto Raptors,115.0,Boston Celtics,83.0,Box Score,,"19,156",
20,"Fri, Oct 22, 2021",7:30p,Brooklyn Nets,114.0,Philadelphia 76ers,109.0,Box Score,,"20,367",
21,"Fri, Oct 22, 2021",8:00p,Oklahoma City Thunder,91.0,Houston Rockets,124.0,Box Score,,"15,674",
22,"Fri, Oct 22, 2021",8:00p,New Orleans Pelicans,112.0,Chicago Bulls,128.0,Box Score,,"20,995",
23,"Fri, Oct 22, 2021",9:00p,San Antonio Spurs,96.0,Denver Nuggets,102.0,Box Score,,"19,520",
