,Date,v,final_v,ml_v,h,final_h,ml_h,total_open,total_close,spread_open,spread_close,v_win_prob,h_win_prob
0,1022,NewOrleans,122,230,Toronto,130.0,-280.0,231.5,229.5,-6.5,-6.5,0.29141104294478526,0.7085889570552146
1,1022,LALakers,102,-180,LAClippers,112.0,150.0,227.0,224.0,-1.5,3.5,0.6164383561643836,0.3835616438356164
2,1023,Detroit,119,240,Indiana,110.0,-300.0,210.0,211.0,-5.0,-7.0,0.28169014084507044,0.7183098591549295
3,1023,Cleveland,85,400,Orlando,94.0,-550.0,212.5,211.5,-7.5,-9.5,0.19117647058823528,0.8088235294117646
4,1023,Chicago,125,-170,Charlotte,126.0,145.0,218.5,216.5,1.5,3.5,0.6067006554989074,0.39329934450109244
5,1023,Boston,93,190,Philadelphia,107.0,-240.0,215.0,214.5,-6.0,-5.5,0.3281853281853282,0.6718146718146719
6,1023,Memphis,101,240,Miami,120.0,-300.0,210.5,213.0,-7.5,-6.5,0.28169014084507044,0.7183098591549295
7,1023,Minnesota,127,142,Brooklyn,126.0,-165.0,225.5,229.0,-5.0,-3.5,0.39891615234080985,0.6010838476591901
8,1023,NewYork,111,525,SanAntonio,120.0,-750.0,214.0,214.5,-9.5,-11.0,0.15349887133182846,0.8465011286681716
9,1023,Washington,100,350,Dallas,108.0,-450.0,223.0,220.0,-8.5,-9.0,0.21359223300970873,0.7864077669902912
10,1023,OklahomaCity,95,375,Utah,100.0,-500.0,222.0,221.5,-9.5,-9.0,0.20168067226890757,0.7983193277310925
11,1023,Sacramento,95,-115,Phoenix,124.0,-105.0,233.0,232.5,2.5,1.0,0.5108342361863488,0.4891657638136511
12,1023,Denver,108,-120,Portland,100.0,100.0,219.5,217.5,-2.5,1.5,0.5217391304347826,0.4782608695652174
13,1024,Atlanta,117,105,Detroit,100.0,-125.0,222.0,221.5,-1.5,-1.5,0.4675324675324675,0.5324675324675325
14,1024,Milwaukee,117,100,Houston,111.0,-120.0,231.5,231.0,-2.0,-1.5,0.4782608695652174,0.5217391304347826
15,1024,LAClippers,141,-110,GoldenState,122.0,-110.0,225.0,229.5,-0.0,-0.0,0.5,0.5
16,1025,Toronto,106,120,Boston,112.0,-140.0,217.5,213.0,-3.0,-2.5,0.43795620437956206,0.562043795620438
17,1025,Minnesota,121,-220,Charlotte,99.0,180.0,229.0,225.0,4.0,5.0,0.6581196581196581,0.3418803418803419
18,1025,NewYork,109,280,Brooklyn,113.0,-360.0,225.5,228.0,-8.5,-8.0,0.25164113785557984,0.7483588621444202
19,1025,Washington,97,300,OklahomaCity,85.0,-400.0,218.5,218.0,-6.5,-8.5,0.23809523809523808,0.7619047619047619
20,1025,Dallas,123,110,NewOrleans,116.0,-130.0,228.0,227.0,-2.0,-2.0,0.4572564612326044,0.5427435387673957
21,1025,Chicago,110,-125,Memphis,102.0,105.0,220.5,224.0,-1.0,2.0,0.5324675324675325,0.4675324675324675
22,1025,Phoenix,107,650,Denver,108.0,-1000.0,221.0,219.5,-11.5,-12.0,0.12790697674418605,0.8720930232558138
23,1025,Portland,122,-120,Sacramento,112.0,100.0,226.5,227.5,-1.0,1.0,0.5217391304347826,0.4782608695652174
24,1025,Utah,86,140,LALakers,95.0,-160.0,218.0,215.5,-2.0,-3.5,0.40372670807453415,0.5962732919254659
25,1026,Miami,131,550,Milwaukee,126.0,-800.0,226.5,223.0,-9.5,-11.5,0.1475409836065574,0.8524590163934427
26,1026,Philadelphia,117,-190,Detroit,111.0,160.0,214.0,213.0,5.0,4.5,0.6301020408163266,0.3698979591836735
27,1026,Boston,118,-240,NewYork,95.0,190.0,210.0,218.5,-1.0,5.5,0.6718146718146719,0.3281853281853282
28,1026,Orlando,99,-135,Atlanta,103.0,115.0,219.0,216.5,-0.0,2.5,0.552594002855783,0.447405997144217
29,1026,Indiana,99,-190,Cleveland,110.0,160.0,213.5,213.0,5.5,4.5,0.6301020408163266,0.3698979591836735
30,1026,Toronto,108,-155,Chicago,84.0,135.0,223.0,219.5,3.5,3.0,0.5882115462252725,0.4117884537747275
31,1026,NewOrleans,123,650,Houston,126.0,-1000.0,236.0,238.5,-10.0,-12.0,0.12790697674418605,0.8720930232558138
32,1026,Washington,122,650,SanAntonio,124.0,-1000.0,218.0,219.5,-12.0,-11.5,0.12790697674418605,0.8720930232558138
33,1026,Sacramento,81,350,Utah,113.0,-450.0,220.0,221.5,-9.5,-9.0,0.21359223300970873,0.7864077669902912
34,1026,LAClippers,122,-550,Phoenix,130.0,400.0,229.5,225.5,8.5,10.0,0.8088235294117646,0.19117647058823528
35,1027,GoldenState,92,100,OklahomaCity,120.0,-120.0,223.5,224.0,1.5,-1.0,0.4782608695652174,0.5217391304347826
36,1027,Brooklyn,133,-180,Memphis,134.0,150.0,224.0,224.0,4.0,4.0,0.6164383561643836,0.3835616438356164
37,1027,Miami,109,240,Minnesota,116.0,-300.0,223.5,224.0,-6.0,-7.0,0.28169014084507044,0.7183098591549295
38,1027,Portland,121,125,Dallas,119.0,-145.0,222.0,219.0,-1.5,-2.5,0.42888402625820565,0.5711159737417943
39,1027,Charlotte,101,800,LALakers,120.0,-1400.0,216.0,216.5,-14.0,-13.0,0.10638297872340424,0.8936170212765957
40,1028,Indiana,94,-130,Detroit,96.0,110.0,213.5,213.0,1.0,2.0,0.5427435387673957,0.4572564612326044
41,1028,Chicago,98,-135,NewYork,105.0,115.0,224.0,224.0,-0.0,2.0,0.552594002855783,0.447405997144217
42,1028,Philadelphia,105,-280,Atlanta,103.0,230.0,223.0,221.0,4.0,6.5,0.7085889570552146,0.29141104294478526
43,1028,Orlando,95,175,Toronto,104.0,-210.0,212.5,209.0,-5.0,-5.0,0.34929577464788736,0.6507042253521127
44,1028,GoldenState,134,120,NewOrleans,123.0,-140.0,239.0,235.5,-2.5,-2.5,0.43795620437956206,0.562043795620438
45,1028,Cleveland,112,1200,Milwaukee,129.0,-3000.0,222.0,224.5,-14.5,-15.5,0.07363420427553445,0.9263657957244656
46,1028,OklahomaCity,112,425,Houston,116.0,-600.0,225.0,228.0,-10.5,-10.0,0.18181818181818185,0.8181818181818182
47,1028,Portland,110,200,SanAntonio,113.0,-250.0,220.0,223.0,-3.5,-6.0,0.3181818181818181,0.6818181818181818
48,1028,Utah,96,-190,Phoenix,95.0,160.0,217.5,213.5,4.0,5.0,0.6301020408163266,0.3698979591836735
49,1028,Denver,101,-220,Sacramento,94.0,180.0,218.0,218.0,5.0,5.5,0.6581196581196581,0.3418803418803419
50,1028,Charlotte,96,1200,LAClippers,111.0,-3000.0,225.5,228.0,-15.0,-15.5,0.07363420427553445,0.9263657957244656
51,1029,Atlanta,97,300,Miami,112.0,-400.0,224.5,223.0,-7.0,-8.5,0.23809523809523808,0.7619047619047619
52,1029,Dallas,109,185,Denver,106.0,-230.0,216.0,212.5,-6.0,-5.5,0.334855403348554,0.665144596651446
53,1029,Memphis,91,575,LALakers,120.0,-850.0,220.0,215.0,-12.0,-11.5,0.14205607476635515,0.8579439252336449
54,1030,NewYork,83,375,Orlando,95.0,-500.0,208.0,209.5,-7.5,-9.5,0.20168067226890757,0.7983193277310925
55,1030,Minnesota,95,250,Philadelphia,117.0,-310.0,227.0,222.5,-7.0,-7.0,0.27424749163879597,0.725752508361204
56,1030,Chicago,111,-130,Cleveland,117.0,110.0,216.5,216.5,1.0,2.0,0.5427435387673957,0.4572564612326044
57,1030,Detroit,113,375,Toronto,125.0,-500.0,211.5,214.0,-8.0,-9.5,0.20168067226890757,0.7983193277310925
58,1030,Indiana,118,130,Brooklyn,108.0,-150.0,220.5,220.5,-3.0,-3.0,0.42016806722689076,0.5798319327731092
59,1030,Milwaukee,105,-165,Boston,116.0,142.0,222.0,224.0,2.5,3.5,0.6010838476591901,0.39891615234080985
60,1030,Houston,159,-350,Washington,158.0,275.0,230.5,234.0,8.5,8.0,0.7446808510638298,0.2553191489361702
61,1030,Portland,102,-120,OklahomaCity,99.0,100.0,223.0,221.5,1.0,1.5,0.5217391304347826,0.4782608695652174
62,1030,Charlotte,118,275,Sacramento,111.0,-350.0,224.0,223.5,-7.0,-7.5,0.2553191489361702,0.7446808510638298
