,Unnamed: 0,id,Date,v,final_v,ml_v,h,final_h,ml_h,total_open,total_close,spread_open,spread_close,v_win_prob,h_win_prob,actual_spread,pred_spread,hw_prob,margin,spread_diff_vegas,vegas_spread_winprob,bet_size,pred_error,spread_outcome,bet_outcome
0,0,0,1222,GoldenState,99,265,Brooklyn,125,-320,228.0,234.5,-5.5,-7.5,0.2644836272040302,0.7355163727959698,26,-5.150452740787356,0.6387814799964004,-26,2.3495472592126436,0.43520000000000003,-0.021519999999999973,-20.849547259212642,-1,1
1,1,1,1222,LAClippers,116,115,LALakers,109,-135,223.0,219.0,-2.5,-2.0,0.447405997144217,0.552594002855783,-7,-1.713414289787356,0.5470321345497196,7,0.2865857102126439,0.4921,0.0,8.713414289787355,1,0
2,2,2,1223,Charlotte,114,-140,Cleveland,121,120,215.0,217.0,-1.0,3.0,0.562043795620438,0.437956204379562,7,0.9859447702126438,0.4728943331855675,-7,-2.014055229787356,0.5556,0.01668999999999995,-7.985944770212644,-1,0
3,3,3,1223,NewYork,107,270,Indiana,121,-330,214.5,215.5,-8.5,-7.5,0.2604482132041187,0.7395517867958814,14,-10.169973162787358,0.7584662574912402,-14,-2.6699731627873575,0.5735,0.026087500000000003,-3.8300268372126425,-1,0
4,4,4,1223,Miami,107,-190,Orlando,113,170,220.5,219.0,3.5,4.5,0.6388542963885429,0.361145703611457,6,4.998875820212643,0.3651411413762364,-6,0.49887582021264265,0.48619999999999997,0.0,-10.998875820212643,-1,0
5,5,5,1223,Washington,107,250,Philadelphia,113,-300,229.0,230.5,-7.5,-7.0,0.2758620689655172,0.7241379310344829,6,-6.8137830957873575,0.6807925106949498,-6,0.18621690421264248,0.4948,0.0,0.8137830957873575,1,0
6,6,6,1223,Milwaukee,121,-190,Boston,122,170,226.0,223.0,2.5,4.5,0.6388542963885429,0.361145703611457,1,1.5420081422126437,0.4576541602177267,-1,-2.9579918577873565,0.5813999999999999,0.030234999999999946,-2.5420081422126435,-1,0
7,7,7,1223,NewOrleans,113,150,Toronto,99,-170,230.0,228.5,-5.0,-3.5,0.3884892086330935,0.6115107913669064,-14,-4.059664440787357,0.6102523701045975,14,-0.5596644407873574,0.5155000000000001,0.0,18.05966444078736,1,0
8,8,8,1223,Atlanta,124,-130,Chicago,104,110,227.0,234.0,1.5,2.0,0.5427435387673957,0.4572564612326044,-20,1.376635521212643,0.4621810910717849,20,-0.6233644787873569,0.5173,0.0,18.62336447878736,1,0
9,9,9,1223,SanAntonio,131,110,Memphis,119,-130,231.5,230.0,-3.0,-2.0,0.4572564612326044,0.5427435387673957,-12,-2.736593060787357,0.574847999109415,12,-0.736593060787357,0.5204,0.0,14.736593060787357,1,0
